@relation test-weka.filters.unsupervised.attribute.NumericToBinary-Rlast

@attribute 'Reaction number' numeric
@attribute 'Reactant 1 name' {CuCl2*2H2O}
@attribute 'Reactant 1 mass (g)' numeric
@attribute 'Reactant 2 name' {HF}
@attribute 'Reactant 2 mass (g)' numeric
@attribute 'Reactant 3 name' {R-aqnHCl}
@attribute 'Reactant 3 mass (g)' numeric
@attribute 'Reactant 4 name' {x}
@attribute 'Reactant 4 mass (g)' numeric
@attribute 'Reactant 5 name' {water}
@attribute 'Reactant 5 mass (g)' numeric
@attribute 'Temp (C)' numeric
@attribute 'Time (h)' numeric
@attribute 'Slow cool' {yes}
@attribute 'pH (x = unknown)' numeric
@attribute Leak {no}
@attribute 'purity (0 = no data in notebook, 1 = multiphase; 2 = single phase)' numeric
@attribute 'outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)' numeric
@attribute Notes string

@data

140.1,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,3,no,2,4,?
140.2,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,5,no,2,4,?
140.3,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,24,yes,7,no,2,4,?
140.4,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,1,no,2,4,?
140.5,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,3,no,2,4,?
140.6,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,5,no,2,4,?
140.7,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,36,yes,7,no,2,4,?
140.8,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,1,no,2,4,?
140.9,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,3,no,2,4,?
140.1,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,5,no,2,4,?
140.11,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,90,48,yes,7,no,2,4,?
140.12,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,1,no,2,4,?
140.13,CuCl2*2H2O,143.20572,HF,1.600507,R-aqnHCl,15.92968,x,-1,water,9,110,24,yes,3,no,2,4,?
